name,brand,opening_hours,lat,lon,city,state,warehouse_id,customer_id,segment,geofence_radius_m
Walmart,Walmart,,25.615883,-100.2742737,Guadalupe,Nuevo Leon,CED002,0731156356,bronze,150
Walmart Supercenter,Walmart,,20.2965952,-103.2444493,Ajijic,Jalisco,CED001,0196643275,bronze,150
Walmart,Walmart,,20.6645714,-103.3483555,Guadalajara,Jalisco,CED001,0220425261,bronze,150
Walmart Supercenter,Walmart,,19.4435046,-99.1531236,Cuauhtemoc,Mexico City,CED001,0068724793,silver,150
Walmart,Walmart,,19.5418447,-96.9073705,Xalapa de Enriquez,Veracruz,CED001,0023086133,silver,150
Walmart,Walmart,,19.1565412,-96.1123401,Veracruz,Veracruz,CED001,0125991060,bronze,150
Walmart Express,Walmart,,20.6425974,-103.4145573,Guadalajara,Jalisco,CED001,0448691053,bronze,150
Walmart,Walmart,,25.7307317,-100.369774,San Nicolas de los Garza,Nuevo Leon,CED002,0177625374,bronze,150
Walmart Supercenter,Walmart,,25.6731942,-100.2024322,Jardines de la Silla (Jardines),Nuevo Leon,CED002,0892666714,silver,150
Walmart,Walmart,,25.766053,-100.3172532,San Nicolas de los Garza,Nuevo Leon,CED002,0377985160,silver,150
Walmart,Walmart,,19.4253702,-99.0289726,Colonia Gustavo Baz Prada,Mexico,CED001,0660762763,bronze,150
Walmart,Walmart,,28.6344662,-106.119385,Chihuahua,Chihuahua,CED002,0507877718,silver,150
Walmart Supercenter,Walmart,,19.2573498,-103.7205064,Colima,Colima,CED001,0143586287,bronze,150
Walmart,Walmart,,27.5167106,-109.9285698,Ciudad Obregon,Sonora,CED002,0320103154,silver,150
Estacionamiento Walmart,,,27.5154582,-109.9286771,Ciudad Obregon,Sonora,CED002,0772865914,silver,150
Walmart Supercenter,Walmart,,19.530975,-99.1562374,Tlalnepantla,Mexico,CED001,0296099666,silver,150
Walmart Supercenter,Walmart,,19.30805,-99.0596829,Iztapalapa,Mexico City,CED001,0399401114,gold,150
Walmart,Walmart,,20.6487559,-103.3100069,Tlaquepaque,Jalisco,CED001,0631483448,gold,150
Walmart Express,Walmart,,19.4348713,-99.1858689,Miguel Hidalgo,Mexico City,CED001,0309763020,bronze,150
Walmart Express,Walmart,,19.4339538,-99.1900816,Miguel Hidalgo,Mexico City,CED001,0552036019,silver,150
Walmart,Walmart,,20.6666951,-103.4098868,Guadalajara,Jalisco,CED001,0042380562,gold,150
Walmart,Walmart,,22.1384368,-100.9348495,Soledad de Graciano Sanchez,San Luis Potosi,CED001,0569530535,gold,150
Walmart,Walmart,,22.7621373,-102.5509176,Zacatecas,Zacatecas,CED001,0756734078,bronze,150
Walmart,Walmart,,21.161556,-101.6908499,Leon,Guanajuato,CED001,0516459659,bronze,150
Walmart,Walmart,,22.2303439,-97.8677321,Tampico,Tamaulipas,CED002,0889389191,silver,150
Walmart,Walmart,,22.297356,-97.879949,Tampico,Tamaulipas,CED002,0887859302,silver,150
Walmart,Walmart,,19.5089047,-96.8818018,Colonia Santa Barbara,Veracruz,CED001,0086600928,bronze,150
Walmart CEDIS Guadalajara,,,20.4930888,-103.2720167,La Alameda,Jalisco,CED001,0967432358,silver,150
Walmart,Walmart,,20.5341685,-100.7968926,Celaya,Guanajuato,CED001,0811374585,silver,150
Walmart Supercenter,Walmart,,19.4055036,-99.2737331,Naucalpan de Juarez,Mexico,CED001,0540323548,silver,150
Walmart Río Sonora,Walmart,,29.06765,-110.9684122,Hermosillo,Sonora,CED002,0303759276,silver,150
Walmart Supercenter,Walmart,,19.2385462,-103.7155281,Colima,Colima,CED001,0400693744,bronze,150
Walmart,Walmart,,20.6838255,-101.3666549,Irapuato,Guanajuato,CED001,0060716604,gold,150
Walmart Culiacán,Walmart,,24.814762,-107.4092124,Culiacan,Sinaloa,CED002,0155975379,silver,150
Walmart,Walmart,,24.1187653,-110.3431298,La Paz,Baja California Sur,CED002,0593700083,silver,150
Walmart,Walmart,,24.0558713,-104.6113973,Victoria de Durango,Durango,CED002,0513131428,silver,150
Walmart,Walmart,,23.752387,-99.1564482,Ciudad Victoria,Tamaulipas,CED002,0230448920,silver,150
Walmart,Walmart,,24.004552,-104.6522798,Victoria de Durango,Durango,CED002,0294477910,silver,150
Walmart,Walmart,,26.9090107,-101.4239765,Monclova,Coahuila,CED002,0037810343,silver,150
Walmart Plaza Cristal,,,17.9792909,-92.9403552,Villahermosa,Tabasco,CED003,0216903701,gold,150
Walmart,Walmart,,17.9893055,-92.969053,Brisas del Carrizal,Tabasco,CED003,0597750199,silver,150
Walmart,Walmart,,18.0014765,-92.9247884,Villahermosa,Tabasco,CED003,0682674333,gold,150
Walmart Supercenter,Walmart,,19.8525832,-90.5285964,Campeche,Campeche,CED003,0142270221,silver,150
Walmart,Walmart,,28.4023967,-106.8380768,Cuauhtemoc,Chihuahua,CED002,0694635870,silver,150
Walmart,Walmart,,22.2711544,-97.871594,Tampico,Tamaulipas,CED002,0185336887,silver,150
Walmart,Walmart,,22.2529348,-97.8531038,Tampico,Tamaulipas,CED002,0070298731,silver,150
Walmart 68,Walmart,,24.7791424,-107.3948419,Culiacan,Sinaloa,CED002,0876215133,silver,150
Walmart Supercenter,Walmart,Mo-Su 07:00-22:00,19.2703357,-99.6060272,Metepec,Morelos,CED001,0827968920,bronze,150
Walmart,Walmart,,19.2810178,-99.6393299,Toluca,Mexico,CED001,0886481560,bronze,150
Walmart Express,Walmart,,19.2958725,-99.1552255,Tlalpan,Mexico City,CED001,0457706608,gold,150
Walmart,Walmart,,19.4293047,-98.9103576,Santa Martha,Mexico,CED001,0243689524,bronze,150
Walmart Express Parques Polanco,,,19.4408131,-99.1837989,Miguel Hidalgo,Mexico City,CED001,0063855814,bronze,150
Walmart,Walmart,,26.9335338,-105.6509215,Hidalgo del Parral,Chihuahua,CED002,0175831528,gold,150
Walmart,Walmart,,23.0538894,-109.7022061,San Jose del Cabo,Baja California Sur,CED002,0976481371,gold,150
Walmart,Walmart,,23.2443948,-106.4237179,Mazatlan,Sinaloa,CED002,0906187424,bronze,150
Walmart Supercenter,Walmart,,20.6565959,-105.2381214,Puerto Vallarta,Jalisco,CED001,0764437487,silver,150
Walmart,Walmart,,31.7046706,-106.418527,Ciudad Juarez,Chihuahua,CED002,0457435303,bronze,150
Walmart,Walmart,,31.7353352,-106.4424723,Ciudad Juarez,Chihuahua,CED002,0507644667,bronze,150
Walmart,,,25.5076247,-103.3976943,Torreon,Coahuila,CED002,0351176665,bronze,150
Walmart Supercenter,Walmart,,17.9784896,-102.2126162,Ciudad Lazaro Cardenas,Michoacan,CED001,0630538688,gold,150
Walmart,Walmart,,21.4915278,-104.8816495,Tepic,Nayarit,CED001,0601251034,bronze,150
Walmart Supercenter,Walmart,,32.6225783,-115.4556588,Mexicali,Baja California,CED002,0769311535,silver,150
Walmart,Walmart,,25.5813536,-108.4738193,Guasave,Sinaloa,CED002,0532677315,silver,150
Sortie du parking Walmart,,,19.4056477,-99.2723102,Naucalpan de Juarez,Mexico,CED001,0100764077,gold,150
Walmart Supercenter,Walmart,Mo-Su 07:00-23:00,19.6795539,-101.2202865,Morelos,Michoacan,CED001,0727317516,bronze,150
Walmart,Walmart,,20.7139039,-103.3753114,Zapopan,Jalisco,CED001,0096132988,gold,150
Walmart,Walmart,,23.6577257,-100.6385302,Matehuala,San Luis Potosi,CED001,0069148874,bronze,150
Walmart,,,19.605585,-99.1881001,Buenavista,Mexico,CED001,0031014016,silver,150
Walmart Poniente Queretaro,,,20.6278381,-100.4650063,Colinas de Santa Cruz Segunda Seccion,Queretaro,CED001,0301227667,bronze,150
Walmart Supercenter,Walmart,,20.5742272,-100.4092503,Santiago de Queretaro,Queretaro,CED001,0777365132,silver,150
Walmart Express,Walmart,,19.5229028,-96.8919475,Lomas Verdes,Veracruz,CED001,0216723259,gold,150
Walmart,,,20.615813,-100.3989749,Santiago de Queretaro,Queretaro,CED001,0861482661,bronze,150
Walmart,Walmart,,19.3078085,-99.6343534,Toluca,Mexico,CED001,0225515229,silver,150
Walmart,Walmart,,19.2582445,-99.6226826,San Jorge Pueblo Nuevo,Mexico,CED001,0671144102,silver,150
Walmart Supercenter,Walmart,07:00-23:00,20.9970657,-89.6742824,Caucel,Yucatan,CED003,0043280723,bronze,150
Walmart Express,Walmart,,20.6918062,-100.4448061,El Salitre,Queretaro,CED001,0216120544,bronze,150
Walmart,Walmart,,20.6760508,-100.4328571,El Salitre,Queretaro,CED001,0183007915,gold,150
Walmart Express,Walmart,,19.2823096,-99.1732472,Tlalpan,Mexico City,CED001,0886109066,gold,150
Walmart,Walmart,,19.2656105,-99.170326,Tlalpan,Mexico City,CED001,0410207630,bronze,150
Walmart,Walmart,Mo-Su 08:00-21:00,18.9559917,-99.2378287,Fraccionamiento Lomas de Ahuatlan,Morelos,CED001,0147249625,silver,150
Walmart Supercenter,Walmart,Mo-Su 07:00-10:00,19.4175609,-99.1057521,Iztacalco,Mexico City,CED001,0350596187,bronze,150
Walmart,Walmart,,28.1994923,-105.4650725,Ciudad Delicias,Chihuahua,CED002,0889501380,silver,150
Walmart Express,Walmart,,19.3818449,-99.1626121,Colonia del Valle,Mexico City,CED001,0511619024,silver,150
Sortie du parking Walmart,,,19.4055549,-99.2722868,Naucalpan de Juarez,Mexico,CED001,0420953325,bronze,150
Entrée du parking Walmart,,,19.4048665,-99.2721423,Naucalpan de Juarez,Mexico,CED001,0949843964,silver,150
Walmart,Walmart,,18.9013826,-99.1747505,Jiutepec,Morelos,CED001,0123628384,gold,150
Walmart,Walmart,,31.821466,-116.600555,Ensenada,Baja California,CED002,0591733324,silver,150
Walmart,Walmart,,19.2806056,-103.7312912,Ciudad de Villa de Alvarez,Colima,CED001,0040044695,bronze,150
Walmart,Walmart,,20.5389573,-100.4353881,El Pueblito,Queretaro,CED001,0906917164,silver,150
CEDIS Walmart,,,19.6038635,-99.215405,Cuautitlan Izcalli,Mexico,CED001,0351065783,silver,150
Walmart Supercenter,Walmart,,19.3842354,-99.080422,Iztacalco,Mexico City,CED001,0133469517,bronze,150
Walmart,Walmart,,19.2872293,-99.699357,San Jose Barbabosa,Mexico,CED001,0685682978,silver,150
Walmart Supercenter,Walmart,,20.9946023,-89.6552849,Merida,Yucatan,CED003,0855795421,silver,150
Walmart Sur,,,25.7855791,-109.0024024,Los Mochis,Sinaloa,CED002,0151967817,bronze,150
Walmart,Walmart,,25.6638941,-100.2420475,Guadalupe,Nuevo Leon,CED002,0235657652,bronze,150
Walmart Express Oradores,,24/7,19.5196912,-99.2463367,Vista Hermosa,Mexico,CED001,0061229606,gold,150
Walmart,,,14.8752805,-92.2825507,Cebadilla 1ra. Seccion,Chiapas,CED003,0729903290,silver,150
Walmart Las Alamedas,,,19.5545531,-99.2441415,Ciudad Lopez Mateos,Mexico,CED001,0628273090,bronze,150
Walmart Montejo,,,20.9861587,-89.6159531,Merida,Yucatan,CED003,0555862946,gold,150
Walmart,,,31.8682686,-116.6093657,Ensenada,Baja California,CED002,0972154324,silver,150
Walmart,Walmart,,19.5429377,-99.2137542,Tlalnepantla,Mexico,CED001,0535755750,bronze,150
Walmart,Walmart,Mo-Su 07:00-23:00,18.9025915,-96.9596757,San Jose de Abajo [Unidad Habitacional],Veracruz,CED001,0530530670,bronze,150
Walmart,Walmart,,31.6335624,-106.3934245,Socorro,Texas,Unknown,0315240401,silver,150
Centro de Distribución WalMart Monterrey,,,25.8804667,-100.2328838,Entronque Laredo-Salinas Victoria,Nuevo Leon,CED002,0420405943,bronze,150
Walmart Express,Walmart,,19.3899251,-99.1756754,Colonia del Valle,Mexico City,CED001,0516630160,bronze,150
Walmart,Walmart,,32.4936538,-116.8519718,Terrazas del Valle,Baja California,CED002,0588251637,silver,150
Walmart,Walmart,,20.6544551,-87.080986,Playa del Carmen,Quintana Roo,CED003,0305594941,bronze,150
Walmart Supercenter,Walmart,Mo-Su 7:00-22:00,21.0097091,-89.6219013,Merida,Yucatan,CED003,0652179182,gold,150
Walmart Express,,,21.0138874,-89.6135785,Merida,Yucatan,CED003,0571583550,silver,150
Walmart,Walmart,,19.6773898,-99.1482687,Tultepec,Mexico,CED001,0876088903,silver,150
Walmart,,,25.6437389,-100.3617338,Garza Garcia,Nuevo Leon,CED002,0040703995,gold,150
Walmart,Walmart,,32.4956784,-116.9347382,San Luis,Baja California,CED002,0950708974,silver,150
Walmart,Walmart,,31.2892777,-110.94162,Nogales,Sonora,CED002,0477287864,silver,150
Walmart Express,Walmart,,19.4350622,-99.2095777,Miguel Hidalgo,Mexico City,CED001,0494935794,bronze,150
Walmart Express,Walmart,,20.6946251,-103.384171,Zapopan2,Jalisco,CED001,0103187120,gold,150
Walmart,Walmart,,18.5150213,-88.2812557,Chetumal,Quintana Roo,CED003,0124060374,bronze,150
Walmart,Walmart,,22.9032144,-109.8991831,Cabo San Lucas,Baja California Sur,CED002,0657382002,silver,150
Walmart Supercenter,Walmart,,19.4254216,-102.0380574,Uruapan,Michoacan,CED001,0963036509,silver,150
Walmart,,,19.0194569,-98.1986274,Puebla,Puebla,CED001,0052613391,silver,150
Walmart Supercenter,Walmart,,25.6753317,-100.4510267,Santa Catarina,Nuevo Leon,CED002,0678218599,silver,150
Walmart,Walmart,,22.1655906,-100.9990293,San Luis Potosi,San Luis Potosi,CED001,0929187088,bronze,150
Walmart,Walmart,,25.6524327,-100.209608,Jardines de la Silla (Jardines),Nuevo Leon,CED002,0961544849,gold,150
Walmart Express,Walmart,,25.678906,-100.3641394,Garza Garcia,Nuevo Leon,CED002,0073275624,silver,150
Walmart Supercenter,Walmart,,19.2948448,-99.1091815,Xochimilco,Mexico City,CED001,0068142450,silver,150
Farmacia Walmart,,,19.3273804,-99.0830629,Iztapalapa,Mexico City,CED001,0310806760,bronze,150
Walmart,Walmart,,20.3537963,-102.056849,La Piedad Cavadas,Michoacan,CED001,0652915552,silver,150
Walmart Supercenter,Walmart,,20.997731,-89.5759965,Merida,Yucatan,CED003,0818420155,gold,150
Walmart Supercenter,,,21.1100311,-101.6101012,Fraccionamiento Paraiso Real,Guanajuato,CED001,0750441226,silver,150
Walmart SuperCenter Valle Real,Walmart,,20.7296914,-103.4506815,Nuevo Mexico,Jalisco,CED001,0459945161,gold,150
Walmart Express,Walmart,,20.731029,-103.4331921,Nuevo Mexico,Jalisco,CED001,0167325989,bronze,150
Walmart,Walmart,,20.6571305,-103.4490454,Guadalajara,Jalisco,CED001,0612568104,bronze,150
Walmart,,,19.3068004,-99.0596986,Iztapalapa,Mexico City,CED001,0179351921,gold,150
Walmart Express,Walmart,,19.490273,-99.1340218,Colonia Lindavista,Mexico,CED001,0855681775,silver,150
Walmart Express,Walmart,,19.3930088,-99.1542427,Benito Juarez,Mexico City,CED001,0131645543,bronze,150
Walmart Express,Walmart,,18.9352361,-99.2076141,Colonia los Cerritos,Morelos,CED001,0645180341,bronze,150
Walmart,Walmart,,25.6656145,-100.2805387,Guadalupe,Nuevo Leon,CED002,0237454566,silver,150
Walmart,Walmart,,18.4680763,-97.4154745,Tehuacan,Puebla,CED001,0008935275,silver,150
Walmart Supercenter,Walmart,,20.603543,-103.4005028,Paseo del Prado,Jalisco,CED001,0086243535,silver,150
Walmart,Walmart,,21.8825958,-102.2580382,Aguascalientes,Aguascalientes,CED001,0546000647,bronze,150
Walmart Express,Walmart,,20.6931838,-103.4406003,Zapopan2,Jalisco,CED001,0687459212,silver,150
Walmart,Walmart,,32.5283392,-117.1186835,Imperial Beach,California,CED002,0295635515,bronze,150
Walmart Supercenter,Walmart,,20.809964,-102.7778371,Tepatitlan de Morelos,Jalisco,CED001,0307928601,silver,150
Walmart,Walmart,,18.8366256,-99.2137051,Temixco,Morelos,CED001,0245454738,bronze,150
Walmart,Walmart,,19.6384616,-99.2233795,Cuautitlan Izcalli,Mexico,CED001,0247842361,bronze,150
Walmart,Walmart,,27.4818168,-109.927085,Ciudad Obregon,Sonora,CED002,0170612283,silver,150
Walmart,,,19.2853186,-99.5914091,Santa Maria Totoltepec,Mexico,CED001,0805241106,silver,150
Walmart,Walmart,,16.2315157,-95.208428,La Noria,Oaxaca,CED003,0977697097,silver,150
Walmart,Walmart,,16.7532671,-93.1362163,Tuxtla Gutierrez,Chiapas,CED003,0941491153,bronze,150
Walmart Express,Walmart,,19.3392205,-99.1266005,Coyoacan,Mexico City,CED001,0844032887,gold,150
Walmart Supercenter,Walmart,,19.3987618,-99.2889231,San Bartolome Coatepec,Mexico,CED001,0135918497,bronze,150
Walmart Express,Walmart,,19.3728901,-99.2789704,Col. Bosques de las Lomas,Mexico City,CED001,0669239431,bronze,150
Walmart Supercenter,Walmart,,19.5530701,-99.2905056,Ciudad Lopez Mateos,Mexico,CED001,0131301925,silver,150
Walmart,Walmart,,25.7939408,-100.3272884,General Escobedo,Nuevo Leon,CED002,0308712274,bronze,150
Walmart,,,19.6693049,-101.1641144,Montana Monarca (Punta Altozano),Michoacan,CED001,0855475265,silver,150
Walmart,,,19.6893331,-99.2247403,Axotlan,Mexico,CED001,0013558802,gold,150
Walmart,Walmart,,16.7505212,-93.0764066,Tuxtla Gutierrez,Chiapas,CED003,0650911138,silver,150
Walmart Express,Walmart,,18.9368052,-99.2474479,Cuernavaca,Morelos,CED001,0919077292,silver,150
Walmart,Walmart,Mo-Su 07:00-23:00,18.8625788,-97.0948134,Orizaba,Veracruz,CED001,0752628134,gold,150
Walmart,,,25.456902,-100.980962,Saltillo,Coahuila,CED002,0947676474,bronze,150
Walmart,Walmart,,28.6189818,-106.0290466,Chihuahua,Chihuahua,CED002,0348042970,silver,150
Walmart Supercenter,Walmart,Mo-Su 08:00-22:30,19.4196954,-99.0940449,Venustiano Carranza,Mexico City,CED001,0277590301,gold,150
Walmart Supercenter,Walmart,,20.5875543,-103.4427492,La Tijera,Jalisco,CED001,0008576558,silver,150
Walmart Express,Walmart,,19.3448608,-99.1351934,Coyoacan,Mexico City,CED001,0432396429,silver,150
Walmart Supercenter,Walmart,,32.3784659,-117.0589563,Rosarito,Baja California,CED002,0122674184,silver,150
Walmart,Walmart,,19.8246235,-90.5457555,Campeche,Campeche,CED003,0267253319,silver,150
Rampa de Ingreso Walmart,,,20.8099522,-102.7786698,Tepatitlan de Morelos,Jalisco,CED001,0232236842,silver,150
Walmart,Walmart,,19.2992241,-98.8859091,Ixtapaluca,Mexico,CED001,0775010524,gold,150
Estacionamiento Walmart,,,19.8524106,-90.52924,Campeche,Campeche,CED003,0709218363,bronze,150
Walmart,Walmart,,21.038754,-89.6043101,Merida,Yucatan,CED003,0794100112,silver,150
Walmart Paseo Real,,,25.7601867,-100.4053828,Mitras Poniente,Nuevo Leon,CED002,0099475836,silver,150
Walmart,Walmart,,25.7599588,-100.4054872,Mitras Poniente,Nuevo Leon,CED002,0254298992,silver,150
Walmart,Walmart,,32.4878693,-116.9455419,San Luis,Baja California,CED002,0401855888,silver,150
Walmart La Mesa,,,32.4875523,-116.9457451,San Luis,Baja California,CED002,0333673214,bronze,150
Walmart,Walmart,,19.5189913,-99.1168461,Colonia Lindavista,Mexico,CED001,0033883894,bronze,150
Walmart Supercenter,Walmart,,21.8598263,-102.2960654,Aguascalientes,Aguascalientes,CED001,0816864378,bronze,150
Walmart Supercenter,Walmart,Mo-Su 08:00-22:00,28.7274465,-106.1299761,Chihuahua,Chihuahua,CED002,0224567791,silver,150
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.4152626,-99.1780745,Polanco,Mexico City,CED001,0410238252,bronze,150
Walmart,Walmart,,29.0983153,-110.9941515,Hermosillo,Sonora,CED002,0014703266,bronze,150
Walmart,Walmart,,19.6927456,-101.1488709,Puerto de Buenavista (Lazaro Cardenas),Michoacan,CED001,0813204489,silver,150
Walmart La Isla,Walmart,,24.8249887,-107.3702406,Culiacan,Sinaloa,CED002,0858124151,bronze,150
Walmart,Walmart,,19.6591248,-99.0184522,Santo Tomas Chiconautla,Mexico,CED001,0613494965,silver,150
Walmart,Walmart,,19.2994268,-98.9534528,San Miguel Xico Viejo,Mexico,CED001,0355191350,gold,150
Walmart,Walmart,,19.0770185,-98.2243385,Sanctorum,Puebla,CED001,0083578012,silver,150
Walmart Express,Walmart,,19.033006,-98.2249872,Puebla,Puebla,CED001,0233889739,bronze,150
Walmart Express,Walmart,,18.9442032,-99.2278842,Cuernavaca,Morelos,CED001,0831607115,silver,150
Walmart Sendero,,,25.768915,-100.2694215,San Nicolas de los Garza,Nuevo Leon,CED002,0372131294,silver,150
Walmart Linda Vista,,,25.6919106,-100.2406527,Guadalupe,Nuevo Leon,CED002,0503082883,silver,150
Walmart,Walmart,,29.1221182,-110.9492411,Hermosillo,Sonora,CED002,0296306033,silver,150
Walmart,Walmart,,21.0984411,-101.6601165,Leon,Guanajuato,CED001,0163062078,bronze,150
Walmart Express,Walmart,,18.9562867,-99.2463575,Fraccionamiento Lomas de Ahuatlan,Morelos,CED001,0544745552,bronze,150
Walmart Supercenter,Walmart,,19.515425,-99.2310742,Vista Hermosa,Mexico,CED001,0585867030,gold,150
Walmart,Walmart,,19.3726598,-99.1763395,Colonia del Valle,Mexico City,CED001,0791360157,silver,150
Walmart,Walmart,,19.7899192,-99.0547159,Arbolada los Sauces,Mexico,CED001,0308859555,silver,150
Walmart,Walmart,,23.7405969,-99.1347435,Ciudad Victoria,Tamaulipas,CED002,0848660782,silver,150
Walmart Supercenter,Walmart,,19.2613176,-98.878062,Chalco de Diaz Covarrubias,Mexico,CED001,0273345249,gold,150
Walmart,Walmart,,22.277706,-97.8420689,Ciudad Madero,Tamaulipas,CED002,0332714482,silver,150
Walmart,Walmart,,28.697911,-106.139114,Chihuahua,Chihuahua,CED002,0443633853,silver,150
Walmart Supercenter,Walmart,,28.6658722,-106.1307812,Chihuahua,Chihuahua,CED002,0095504673,bronze,150
Walmart Supercenter,Walmart,,32.4744702,-117.0004853,Tijuana,Baja California,CED002,0383212032,silver,150
Walmart Colosio,Walmart,Mo-Su 07:00-23:00,29.0833106,-111.0214687,Hermosillo,Sonora,CED002,0111191425,bronze,150
Walmart Supercenter,Walmart,,19.3445769,-99.1827557,Coyoacan,Mexico City,CED001,0576088163,bronze,150
Walmart Supercenter,Walmart,,17.5256642,-99.489861,Chilpancingo de los Bravos,Guerrero,CED003,0108754617,silver,150
Walmart,Walmart,,16.7447666,-92.660117,San Antonio del Monte,Chiapas,CED003,0607668459,bronze,150
Walmart,Walmart,,21.1251674,-86.8754778,Alfredo V. Bonfil,Quintana Roo,CED003,0594168744,bronze,150
Walmart Express,Walmart,,19.0762595,-96.093022,Playa de la Libertad,Veracruz,CED001,0209728607,silver,150
Walmart Express,Walmart,,19.4223365,-99.2055158,Polanco,Mexico City,CED001,0703338161,silver,150
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.3395759,-99.2188186,Magdalena Contreras,Mexico City,CED001,0986040164,silver,150
Walmart,Walmart,,16.844763,-99.847337,Acapulco de Juarez,Guerrero,CED003,0545266182,bronze,150
Walmart,Superama,,19.5066127,-99.25961,Ejido del Tejocote,Mexico,CED001,0143624396,gold,150
Walmart Supercenter,Walmart,,20.559802,-100.4273835,El Pueblito,Queretaro,CED001,0051115820,bronze,150
Walmart Supercenter,Walmart,,19.5160229,-99.2677855,Rincon Verde,Mexico,CED001,0695823288,silver,150
Walmart Supercenter,Walmart,Mo-Su 07:00-22:00,19.4092548,-99.075272,Iztacalco,Mexico City,CED001,0037766153,gold,150
Walmart,Walmart,,19.3238448,-98.2297135,Acxotla del Rio,Tlaxcala,CED001,0666347440,gold,150
Walmart Supercenter,Walmart,,19.249667,-99.5897545,San Salvador Tizatlalli,Mexico,CED001,0993368084,bronze,150
Walmart,Walmart,,19.0172782,-98.2634913,Tlazcalancingo,Puebla,CED001,0395797253,bronze,150
Walmart Supercenter,Walmart,,20.743896,-103.4095565,Zapopan2,Jalisco,CED001,0664017917,gold,150
Walmart Supercenter,Walmart,,25.7915827,-100.2476839,Fraccionamiento Cosmopolis Octavo Sector,Nuevo Leon,CED002,0614686394,gold,150
Walmart,,,25.5074343,-103.3973905,Torreon,Coahuila,CED002,0054818236,bronze,150
Walmart Supercenter,Walmart,,19.3640196,-99.2886505,Cuajimalpa,Mexico City,CED001,0497170384,silver,150
Walmart,Walmart,,21.1543228,-86.8337325,Cancun,Quintana Roo,CED003,0925941031,gold,150
Walmart,Walmart,,25.8058384,-108.990648,Los Mochis,Sinaloa,CED002,0618664001,silver,150
Walmart Supercenter,Walmart,,20.5832283,-101.2246184,Salamanca,Guanajuato,CED001,0210942763,silver,150
